,EVENT MARKER,FLD TIME(sec.),RATIO_OF_MEANS_RG_corrected.1.1,RATIO_OF_MEANS_RG_corrected.1.2,RATIO_OF_MEANS_RG_corrected.1.3,RATIO_OF_MEANS_RG_corrected.1.4,RATIO_OF_MEANS_RG_corrected.1.5,RATIO_OF_MEANS_RG_corrected.1.6,RATIO_OF_MEANS_RG_corrected.1.7,RATIO_OF_MEANS_RG_corrected.1.8,RATIO_OF_MEANS_RG_corrected.1.9,RATIO_OF_MEANS_RG_corrected.1.10,RATIO_OF_MEANS_RG_corrected.1.11,RATIO_OF_MEANS_RG_corrected.1.12,RATIO_OF_MEANS_RG_corrected.1.13,RATIO_OF_MEANS_RG_corrected.1.14,RATIO_OF_MEANS_RG_corrected.1.15,RATIO_OF_MEANS_RG_corrected.1.16,RATIO_OF_MEANS_RG_corrected.1.17,RATIO_OF_MEANS_RG_corrected.1.18,RATIO_OF_MEANS_RG_corrected.1.19
66,,65.049431,0.329111,0.291918,1.162946,0.313445,0.420738,0.516903,0.376372,0.470756,0.452689,0.437355,0.571761,0.400195,0.352298,0.371495,0.32902,0.587484,0.520604,0.363655,3.119111
67,,66.041199,0.327137,0.290753,1.226166,0.31129,0.414113,0.513671,0.377043,0.509033,0.449647,0.437063,0.551528,0.400646,0.347845,0.369274,0.331882,0.578942,0.571465,0.364729,3.408688
68,,67.048439,0.328811,0.289376,1.207621,0.309248,0.419841,0.51018,0.374134,0.503033,0.454103,0.442757,0.547968,0.400109,0.35132,0.371057,0.331879,0.577493,0.556089,0.362054,3.22543
69,,68.039894,0.3318,0.291904,1.248949,0.315551,0.423376,0.511845,0.37793,0.50208,0.456071,0.4515,0.541976,0.401684,0.352124,0.371593,0.33367,0.570173,0.555267,0.366841,3.197276
70,,69.047287,0.33212,0.294272,1.255054,0.316306,0.423875,0.512056,0.378515,0.5107,0.460659,0.457636,0.559025,0.406321,0.354107,0.377232,0.333023,0.563957,0.622817,0.370057,3.484811
71,,70.038788,0.331469,0.291921,1.215432,0.312287,0.422633,0.505161,0.377558,0.494436,0.457521,0.454321,0.549994,0.400155,0.353485,0.372496,0.331109,0.554244,0.597585,0.364527,3.349657
72,,71.046173,0.330963,0.291826,1.211711,0.312837,0.421892,0.501763,0.375411,0.487353,0.461762,0.457704,0.542523,0.399236,0.350801,0.373561,0.333216,0.55088,0.615531,0.36936,3.314177
73,,72.053581,0.327183,0.289585,1.181743,0.312126,0.419066,0.518039,0.373532,0.494226,0.459639,0.455035,0.565465,0.39668,0.34651,0.370242,0.330139,0.536829,0.591317,0.362812,3.330133
74,,73.044998,0.326458,0.288829,1.210608,0.309766,0.419607,0.52941,0.373977,0.501558,0.45713,0.451719,0.55261,0.395556,0.350749,0.372141,0.330252,0.534584,0.582476,0.364731,3.29522
75,,74.054131,0.327374,0.290411,1.187115,0.311475,0.421299,0.518524,0.372193,0.491136,0.457434,0.450962,0.542471,0.39615,0.351121,0.37195,0.331083,0.530508,0.565362,0.362722,3.146864
76,,75.043839,0.326145,0.28912,1.209887,0.311442,0.418783,0.519045,0.371026,0.489407,0.45685,0.450877,0.53538,0.394929,0.349967,0.368509,0.328596,0.52184,0.555829,0.360903,3.386788
77,,76.05117,0.332763,0.291302,1.227078,0.315491,0.42495,0.522265,0.376335,0.468447,0.46489,0.458043,0.570393,0.402725,0.354858,0.376396,0.335298,0.523129,0.625178,0.366767,3.375502
78,,77.059845,0.327674,0.288722,1.191012,0.309442,0.422952,0.52938,0.369256,0.467278,0.455552,0.449648,0.549689,0.396812,0.347948,0.370305,0.332138,0.511638,0.59448,0.361968,3.247443
79,,78.050308,0.329861,0.292089,1.209596,0.311383,0.426178,0.552038,0.372776,0.500518,0.460323,0.450923,0.542138,0.402498,0.350433,0.373601,0.333756,0.514487,0.641506,0.365384,3.383147
80,,79.057732,0.332387,0.292844,1.205613,0.314064,0.426628,0.567366,0.375416,0.495545,0.459709,0.450932,0.532214,0.403281,0.351669,0.376313,0.336963,0.526172,0.666287,0.365097,3.363738
81,,80.04911,0.330914,0.292781,1.248548,0.311991,0.425379,0.561036,0.371167,0.50487,0.45856,0.45174,0.519751,0.39979,0.35274,0.374123,0.33326,0.532449,0.643865,0.366351,3.725617
82,,81.056572,0.327229,0.289717,1.185206,0.311991,0.419728,0.559076,0.365041,0.451785,0.45472,0.446618,0.51009,0.395943,0.348472,0.371401,0.33186,0.53547,0.655169,0.364384,3.135352
83,,82.047935,0.32836,0.290771,1.180864,0.313092,0.419607,0.553071,0.368779,0.486725,0.458261,0.446334,0.511155,0.392923,0.349284,0.372199,0.333025,0.539328,0.629438,0.361268,3.097529
84,,83.055466,0.332592,0.29338,1.192668,0.314225,0.428696,0.555309,0.375585,0.508343,0.460839,0.458081,0.533636,0.400408,0.355447,0.375035,0.342905,0.54774,0.690915,0.369817,3.156313
85,,84.046837,0.331755,0.292623,1.168353,0.315016,0.425616,0.54749,0.370372,0.490253,0.459811,0.455678,0.55523,0.399165,0.350413,0.376737,0.337868,0.554849,0.656161,0.367271,3.349853
86,,85.054298,0.333775,0.29308,1.200885,0.313639,0.426603,0.552003,0.369845,0.506475,0.458964,0.461131,0.582539,0.401279,0.353381,0.372288,0.339838,0.5646,0.689825,0.368266,3.356079
87,,86.061607,0.326053,0.291344,1.170505,0.312184,0.419896,0.543156,0.366649,0.495512,0.453924,0.458252,0.55792,0.396267,0.347765,0.370357,0.33602,0.558222,0.660716,0.36374,3.156472
88,,87.053123,0.330778,0.295979,1.220134,0.315782,0.425613,0.551399,0.370091,0.502304,0.461979,0.46919,0.557561,0.40219,0.353495,0.375232,0.343127,0.572367,0.644884,0.367515,3.414964
89,,88.060501,0.330068,0.294533,1.216195,0.315046,0.42711,0.548789,0.370043,0.49252,0.459612,0.47012,0.541836,0.402068,0.354763,0.371721,0.34398,0.576558,0.630159,0.371283,3.244958
90,,89.052116,0.327906,0.293024,1.186095,0.310887,0.424285,0.545488,0.364222,0.468832,0.456425,0.470953,0.524013,0.395311,0.353795,0.371904,0.339281,0.558989,0.599194,0.367567,3.530674
91,,90.059288,0.333392,0.294724,1.248285,0.316779,0.426197,0.560338,0.370755,0.516402,0.460461,0.472829,0.524025,0.413141,0.353506,0.37451,0.34422,0.562283,0.594567,0.372304,3.518106
92,,91.050835,0.329198,0.291012,1.169345,0.31035,0.419793,0.555592,0.364022,0.510538,0.45429,0.467451,0.514414,0.402646,0.351504,0.370819,0.335112,0.567978,0.574433,0.364938,3.377349
93,,92.05822,0.329772,0.293427,1.220854,0.312401,0.425766,0.556762,0.367784,0.497058,0.456711,0.468941,0.50998,0.403616,0.352403,0.373869,0.337791,0.578263,0.562374,0.368957,3.301096
94,,93.066269,0.333048,0.295943,1.231153,0.315425,0.428154,0.5703,0.368551,0.496644,0.460285,0.469708,0.510115,0.412974,0.356444,0.376443,0.339505,0.594606,0.560508,0.369163,3.244005
95,,94.057121,0.331189,0.296059,1.2168,0.313266,0.425523,0.56302,0.368115,0.480369,0.457871,0.466315,0.529086,0.407497,0.354393,0.376817,0.340608,0.599026,0.549418,0.374535,3.33357
96,,95.064346,0.332597,0.296612,1.22741,0.315194,0.428298,0.555432,0.369235,0.487544,0.459026,0.46966,0.564021,0.409809,0.355319,0.375406,0.343853,0.602914,0.549503,0.372851,3.275158
97,,96.056015,0.332048,0.294377,1.228369,0.314376,0.425212,0.547002,0.370237,0.509575,0.457878,0.464793,0.57727,0.409827,0.354041,0.374064,0.339365,0.5993,0.533633,0.369758,3.467186
98,,97.063309,0.330322,0.292511,1.217571,0.31002,0.420971,0.536209,0.366112,0.486971,0.455263,0.458013,0.563169,0.408097,0.351082,0.370906,0.337663,0.597088,0.551326,0.369074,3.245949
99,,98.070793,0.33438,0.294827,1.199301,0.312639,0.42381,0.538593,0.366188,0.48026,0.456661,0.462353,0.576804,0.412573,0.354219,0.374416,0.339316,0.605365,0.542666,0.371711,3.259156
100,,99.062126,0.331498,0.294452,1.253178,0.315945,0.42423,0.56045,0.37022,0.508616,0.45648,0.458757,0.572733,0.414321,0.356467,0.373839,0.342188,0.622048,0.533148,0.372537,3.417591
101,,100.069603,0.328387,0.290531,1.201723,0.311233,0.421447,0.554666,0.36305,0.485769,0.453017,0.447639,0.555392,0.41045,0.352388,0.370042,0.336339,0.62784,0.5117,0.368297,3.282412
102,,101.061043,0.330938,0.292701,1.220294,0.311316,0.418569,0.553363,0.368569,0.510918,0.456808,0.449208,0.576098,0.410611,0.354276,0.371272,0.339276,0.639507,0.506197,0.367852,3.292537
103,,102.068581,0.330959,0.295201,1.213711,0.313076,0.42175,0.544614,0.365869,0.501576,0.460239,0.452768,0.562558,0.412349,0.352066,0.373026,0.338451,0.651485,0.503194,0.370075,3.322502
104,,103.059914,0.329729,0.294001,1.180684,0.309424,0.420503,0.533727,0.361714,0.467852,0.458109,0.453325,0.543536,0.402687,0.350314,0.371635,0.337379,0.654164,0.492452,0.369235,3.295042
105,,104.067398,0.330322,0.29388,1.18894,0.312512,0.421426,0.535469,0.362726,0.488108,0.459115,0.454143,0.537553,0.399353,0.350896,0.374308,0.34115,0.656716,0.490185,0.371665,3.229962
106,,105.058723,0.330657,0.290867,1.215476,0.312384,0.418349,0.527496,0.366325,0.501164,0.458157,0.451699,0.521437,0.401904,0.353573,0.370385,0.340672,0.650686,0.493129,0.367154,3.446869
107,,106.066162,0.327293,0.290306,1.211304,0.308946,0.418298,0.524846,0.365169,0.489404,0.455975,0.450822,0.551526,0.402656,0.350007,0.368292,0.340289,0.63415,0.47894,0.368178,3.154499
108,,107.073578,0.332348,0.295978,1.245632,0.31303,0.423093,0.523441,0.370021,0.514778,0.461987,0.457596,0.545058,0.415456,0.35281,0.375797,0.340447,0.624583,0.482954,0.370348,3.274572
109,,108.065018,0.332374,0.294253,1.253812,0.313192,0.422898,0.525161,0.374596,0.515747,0.461717,0.458522,0.53505,0.425521,0.356889,0.374734,0.339949,0.616565,0.477397,0.371839,3.668418
110,,109.072418,0.331845,0.293745,1.172304,0.313897,0.42055,0.516311,0.37437,0.498167,0.461208,0.459872,0.55583,0.423638,0.356534,0.376585,0.338891,0.603296,0.473452,0.369775,3.407838
111,,110.063812,0.332537,0.293365,1.186701,0.311033,0.42229,0.508972,0.365636,0.47527,0.458323,0.463794,0.575206,0.423887,0.350807,0.372335,0.339693,0.583376,0.462544,0.36825,3.434071
112,,111.071205,0.331782,0.293448,1.226136,0.310855,0.418664,0.522315,0.368045,0.486025,0.455306,0.472434,0.558557,0.426901,0.353114,0.372763,0.341456,0.568697,0.462201,0.368592,3.382516
113,,112.078636,0.334707,0.296235,1.242686,0.313433,0.423357,0.527002,0.369181,0.506309,0.463148,0.475429,0.55834,0.430583,0.356721,0.377813,0.346336,0.562995,0.459641,0.372029,3.510125
114,,113.069992,0.331563,0.294008,1.180979,0.313257,0.422257,0.527077,0.366528,0.466262,0.459925,0.473444,0.539357,0.428644,0.356104,0.374463,0.344866,0.549914,0.455781,0.370293,3.107114
115,,114.07737,0.334651,0.295418,1.224334,0.314078,0.424159,0.523343,0.368944,0.502719,0.463142,0.473055,0.536673,0.43818,0.356453,0.374045,0.3569,0.543049,0.45519,0.375801,3.2618
116,,115.068565,0.334831,0.296826,1.234272,0.311567,0.423854,0.525021,0.370887,0.495046,0.460451,0.467725,0.563656,0.436742,0.357888,0.377727,0.360941,0.54261,0.453115,0.375754,3.426902
117,,116.076004,0.332646,0.294787,1.177167,0.313345,0.422202,0.538137,0.365365,0.481883,0.461634,0.460331,0.546893,0.428897,0.354282,0.373001,0.364224,0.527953,0.449092,0.373244,3.308647
